Volume,AdjClose,Country
24012900,30.86,USA
30487800,30.86,USA
31505200,30.95,Australia
28295200,32.11,USA
21533500,32.1,USA
15485100,31.6,Netherland
27999200,31.65,USA
20026500,32.01,USA
36774800,31.91,USA
28160300,31.25,USA
30821100,30.66,UK
12802300,29.56,USA
18316200,29.17,Australia
18172200,29.74,USA
15561700,30.08,USA
29162600,29.89,USA
24506800,29.35,Canada
11163300,28.56,USA
16483100,28.77,USA
17905200,28.35,USA
14100300,28.31,USA
13576600,28.04,UK
16859000,27.87,Italy
21334800,28.04,UK
28356200,28.21,USA
81017500,28.94,Canada
43728100,26.96,USA
23199800,27.42,UK
24757700,27.64,USA
23869400,28.12,USA
17796100,29.05,UK
24448400,29.29,USA
20971100,29.45,USA
28457500,29.2,USA
40240000,28.7,USA
25621500,27.58,USA
25713700,27.92,UK
64264600,27.74,USA
32512200,26.85,USA
26352700,25.61,USA
16297800,25.54,USA
11908400,25.36,France
12421800,25.75,USA
8400500,25.45,Japan
14666100,25.55,USA
27050600,25.48,USA
24905600,25.59,USA
18973800,26.41,USA
19431200,26.3,USA
27227300,26.9,USA
14400300,26.87,USA
20428600,26.6,USA
31971600,26.75,USA
12916900,26.49,USA
19262200,26.34,USA
22407000,26.63,USA
35202800,26.86,France
27118200,27.43,Netherland
28012700,26.89,USA
20055800,26.49,Italy
14916300,27.01,USA
19375100,27.04,UK
14940800,27,Canada
19922300,27.27,USA
9384400,28.03,Sweden
32055800,28.49,USA
21138300,27.14,USA
20272000,26.72,UK
17955200,26.91,USA
38508500,26.64,USA
22112700,27.15,UK
20145700,27.24,USA
16876500,27.4,USA
21366600,27.39,USA
27428600,27.45,USA
23384800,26.9,USA
28442700,26.61,France
22563600,26.59,USA
15313800,26.18,USA
34824500,26.53,USA
26300200,25.99,USA
33492800,26.34,USA
35295800,25.95,USA
29647200,25.34,USA
38435800,25.28,USA
40110600,24.49,USA
31704000,23.53,USA
26301200,23.37,USA
49795600,23.21,USA
42280400,23.14,Canada
111660900,22.99,Singapore
67417200,24.15,UK
36496400,24.18,USA
51338900,24.42,USA
25824500,24.12,USA
39356300,24.24,Canada
30371900,24.47,USA
15729500,25.03,USA
20847000,25.47,Australia
17634000,25.18,France
21717900,25.21,USA
21148300,24.84,UK
19641300,24.88,USA
18982600,25.28,Japan
35331200,25.33,USA
29835900,24.65,Italy
34950100,25.05,USA
19992400,25.29,USA
20667400,25.52,UK
28584500,25.34,Australia
55636600,25.64,UK
127718600,25.75,UK
15685000,29,USA
19550300,29.32,USA
9565500,29.03,USA
15248400,29.17,USA
10005000,29.09,USA
12936000,28.61,USA
9781800,28.14,USA
18434400,27.86,USA
12800600,28.5,Australia
11425600,29.07,UK
11573600,29.49,USA
8879300,28.83,Sweden
13119300,29.02,USA
9888800,28.96,USA
10404700,28.91,USA
